"Any","Id_aforament","Mes","Codi_tipus_dia","Desc_tipus_dia","Valor_IMD"
2019,"10010",9,3,"Divendres",10893
2019,"10010",9,4,"Dissabte",7455
2019,"10010",9,5,"Diumenge",5542
2019,"10010",10,1,"Dilluns",10930
2019,"10010",10,2,"Laborable",11013
2019,"10010",10,3,"Divendres",10842
2019,"10010",10,4,"Dissabte",7888
2019,"10010",10,5,"Diumenge",5955
2019,"10010",11,1,"Dilluns",10683
2019,"10010",11,2,"Laborable",10928
2019,"10010",11,3,"Divendres",11596
2019,"10010",11,4,"Dissabte",8048
2019,"10010",11,5,"Diumenge",5749
2019,"10010",12,1,"Dilluns",10932
2019,"10010",12,2,"Laborable",11312
2019,"10010",12,3,"Divendres",11029
2019,"10010",12,4,"Dissabte",8078
2019,"10010",12,5,"Diumenge",6038
2019,"10011",1,1,"Dilluns",3173
2019,"10011",1,2,"Laborable",3348
2019,"10011",1,3,"Divendres",3545
2019,"10011",1,4,"Dissabte",2476
2019,"10011",1,5,"Diumenge",1775
2019,"10011",2,1,"Dilluns",3342
2019,"10011",2,2,"Laborable",3399
2019,"10011",2,3,"Divendres",3640
2019,"10011",2,4,"Dissabte",2438
2019,"10011",2,5,"Diumenge",1661
2019,"10011",3,1,"Dilluns",3212
2019,"10011",3,2,"Laborable",3319
2019,"10011",3,3,"Divendres",3669
2019,"10011",3,4,"Dissabte",2424
2019,"10011",3,5,"Diumenge",1734
2019,"10011",4,1,"Dilluns",3256
2019,"10011",4,2,"Laborable",3328
2019,"10011",4,3,"Divendres",3673
2019,"10011",4,4,"Dissabte",2310
2019,"10011",4,5,"Diumenge",1522
2019,"10011",5,1,"Dilluns",3280
2019,"10011",5,2,"Laborable",3394
2019,"10011",5,3,"Divendres",3838
2019,"10011",5,4,"Dissabte",2460
2019,"10011",5,5,"Diumenge",1778
2019,"10011",6,1,"Dilluns",3376
2019,"10011",6,2,"Laborable",3527
2019,"10011",6,3,"Divendres",3866
2019,"10011",6,4,"Dissabte",2444
2019,"10011",6,5,"Diumenge",1651
2019,"10011",7,1,"Dilluns",3265
2019,"10011",7,2,"Laborable",3334
2019,"10011",7,3,"Divendres",3604
2019,"10011",7,4,"Dissabte",2274
2019,"10011",7,5,"Diumenge",1642
2019,"10011",8,1,"Dilluns",2300
2019,"10011",8,2,"Laborable",2318
2019,"10011",8,3,"Divendres",2516
2019,"10011",8,4,"Dissabte",1743
2019,"10011",8,5,"Diumenge",1277
2019,"10011",9,1,"Dilluns",3235
2019,"10011",9,2,"Laborable",3348
2019,"10011",9,3,"Divendres",3471
2019,"10011",9,4,"Dissabte",2221
2019,"10011",9,5,"Diumenge",1567
2019,"10011",10,1,"Dilluns",3469
2019,"10011",10,2,"Laborable",3550
2019,"10011",10,3,"Divendres",3383
2019,"10011",10,4,"Dissabte",2446
2019,"10011",10,5,"Diumenge",1695
2019,"10011",11,1,"Dilluns",3404
